country,latitude,longitude
Armenia,40.069099,45.038189
Angola,-11.202692,17.873887
Argentina,-38.416097,-63.616672
Austria,47.516231,14.550072
Australia,-25.274398,133.775136
Azerbaijan,40.143105,47.576927
Bangladesh,23.684994,90.356331
Belgium,50.503887,4.469936
Burkina Faso,12.238333,-1.561593
Bulgaria,42.733883,25.48583
Burundi,-3.373056,29.918886
Benin,9.30769,2.315834
Bolivia,-16.290154,-63.588653
Brazil,-14.235004,-51.92528
Botswana,-22.328474,24.684866
Belarus,53.709807,27.953389
Canada,56.130366,-106.346771
Switzerland,46.818188,8.227512
Chile,-35.675147,-71.542969
Cameroon,7.369722,12.354722
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Germany,51.165691,10.451526
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Ecuador,-1.831239,-78.183406
Estonia,58.595272,25.013607
Spain,40.463667,-3.74922
Ethiopia,9.145,40.489673
Finland,61.92411,25.748151
France,46.227638,2.213749
Gabon,-0.803689,11.609444
United Kingdom,55.378051,-3.435973
Georgia,42.315407,43.356892
Ghana,7.946527,-1.023194
Greece,39.074208,21.824312
Honduras,15.199999,-86.241905
Croatia,45.1,15.2
Hungary,47.162494,19.503304
Indonesia,-0.789275,113.921327
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
India,20.593684,78.96288
Iran,32.427908,53.688046
Iceland,64.963051,-19.020835
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Kyrgyzstan,41.20438,74.766098
Cambodia,12.565679,104.990963
Kazakhstan,48.019573,66.923684
Laos,19.85627,102.495496
Sri Lanka,7.873054,80.771797
Liberia,6.428055,-9.429499
Lesotho,-29.609988,28.233608
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Latvia,56.879635,24.603189
Morocco,31.791702,-7.09262
Moldova,47.411631,28.369885
Madagascar,-18.766947,46.869107
Mali,17.570692,-3.996166
Mongolia,46.862496,103.846656
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
Malaysia,4.210484,101.975766
Mozambique,-18.665695,35.529562
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Netherlands,52.132633,5.291266
Netherlands,12.226079,-69.060087
Nicaragua,12.865416,-85.207229
Norway,60.472024,8.468946
Nepal,28.394857,84.124008
Panama,8.537981,-80.782127
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Pakistan,30.375321,69.345116
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Paraguay,-23.442503,-58.443832
Romania,45.943161,24.96676
Serbia,44.016521,21.005859
Russia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Sweden,60.128161,18.643501
Slovenia,46.151241,14.995463
Slovakia,48.669026,19.699024
Sierra Leone,8.460555,-11.779889
Senegal,14.497401,-14.452362
El Salvador,13.794185,-88.89653
Chad,15.454166,18.732207
Togo,8.619543,0.824782
Thailand,15.870032,100.992541
Tajikistan,38.861034,71.276093
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Tanzania,-6.369028,34.888822
Ukraine,48.379433,31.16558
Uganda,1.373333,32.290275
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Vietnam,14.058324,108.277199
Kosovo,42.602636,20.902977
South Africa,-30.559482,22.937506
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857